emoji,definition
😤,"A yellow face with closed eyes, furrowed eyebrows, broad frown, and two puffs of steam blowing out of its nose, as if in a huff or fuming. May convey various negative emotions, including irritation, anger, and contempt. May also convey feelings of pride, dominance, and empowerment. "
💕,Two pink love hearts. One larger than the other. Can be used to display that “love is in the air”.
😭,"May convey inconsolable grief but also other intense feelings, such as uncontrollable laughter, pride or overwhelming joy."
😌,"Conveys various pleasant feelings, including contentment, calm, peace, and relief. May also convey feelings of happiness or good-natured humor more generally."
💁,This emoji is commonly used to express sassiness or sarcasm.
😏,Often used to convey flirtation or sexual innuendo.
😖,"May be used to represent being overcome with various emotions, including irritation, frustration, disgust, and sadness, as if to the point of defeat.  "
😓,"Meaning widely varies, but commonly conveys a moderate degree of sadness, pain, frustration, or disappointment."
💙,"A blue heart emoji, commonly used by brands as a neutral heart color."
😍,"Often conveys enthusiastic feelings of love, infatuation, and adoration, e.g., I love/am in love with this person or thing."
👊,"A fist displayed in a position to punch someone, or to fist-bump another person. "
🙈,"Often used as a playful way to convey a laughing, disbelieving, cringing I can’t believe what I’m seeing! or I can’t bear to look!"
🙌,"Two hands raised in the air, celebrating success or another joyous event. Originally animated to show hands being raised, as might be done along with the the exclamation Banzai!"
😢,May convey a moderate degree of sadness or pain.
💀,"Commonly expresses figurative death, e.g., dying from extreme laughter, frustration, or affection."
😜,"Often conveys a sense of fun, excitement, wackiness, buffoonery, or joking."
😘,May represent a kiss goodbye or good night and convey feelings of love and affection more generally. 
😈,"Commonly used to convey mischief, naughtiness, and excitement or excellence (slang, bad or wicked). May also represent devils or devilish behavior, especially around Halloween."
😊,"Often expresses genuine happiness and warm, positive feelings."
🙏,"Two hands placed firmly together, meaning please or thank you in Japanese culture. A common alternative use for this emoji is for prayer, using the same gesture as praying hands. It can also represent a respectful greeting or show of adoration many in Southeast Asian religions and cultures, such as the Hindu namaste or Buddhist añjali mudra."
😄,Often conveys general happiness and good-natured amusement.
✋,"A hand held up showing its palm. May be used to mean stop, or as a high-five."
😁,"Often expresses a radiant, gratified happiness. Tone varies, including warm, silly, amused, or proud."
😎,"Often used to convey the slang sense of cool. May also express a confident, carefree attitude or that something is excellent."
😉,"May signal a joke, flirtation, hidden meaning, or general positivity. Tone varies, including playful, affectionate, suggestive, or ironic."
🎧,"Headphones, used to listen to music or other forms audio, such as podcasts."
😐,Intended to depict a neutral sentiment but often used to convey mild irritation and concern or a deadpan sense of humor.
😞,"May convey a variety of unhappy emotions, including disappointment, grief, stress, regret, and remorse."
😫,"While intended to represent tiredness, it commonly conveys various degrees and tones of frustration and sadness as well excitement and affection, as if it just can’t handle how great someone or something is."
😩,"May convey various feelings of frustration, sadness, amusement, and affection. Often playful in tone."
😬,"May represent a range of negative or tense emotions, especially nervousness, embarrassment, or awkwardness (e.g., Eek!)."
☺,"Conveys a wide range of warm, positive feelings, including love, happiness, and gratitude."
👏,"Two hands clapping emoji, which when used multiple times can be used as a round of applause."
😑,"May convey a sense of frustration or annoyance more intense than suggested by Neutral Face, as if taking a moment to collect itself."
🙅,A person with arms crossed forming an ‘X’ to indicate ‘no’ or ‘no good’. This motion is used on the TV game show Deal or No Deal to indicate ‘No Deal’.
