data,emoji,label
显着你了？用他理了还是用你理了？相当大英雄去边疆站岗把嘴闭上你上赶着的样子真是跟你的头像一样耿直,"[嘻嘻],[摊手]",0
致敬最可爱的人！感恩 不会忘记您们的,[心],1
神经了！那电影佐罗也看不了了！,[嘻嘻],0
难道不是因为部分女性在听到妇女二字强烈的反应导致都不能大方说妇女了嘛,[doge],0
谢谢，大学牲提前放，,[可爱],1
招惹大猩猩？你是铁做的吗？嗯，铁做得也给你撕碎。,[笑cry],0
向坚守方舱医院的大白们致敬，你们辛苦了！,[心],1
明明是你说话冲啊,[喵喵],0
盾构机是用你的嘴做的，阳刚男孩,[心],0
疫情你何时能结束啊 您一路走好🕯️,[泪],1
极端反华的日本，现在却被大多数人觉得日本对华友好,[摊手],0
就这样都不犯法？卧槽泥马啊,[微笑],0
我18年考生那个时候好像没有全国卷，怎么全国卷时候北京又分家了呢01年高考事件也得看一下嗷还有，坐井观天的是您嗷，新疆教育资源难不成比首都好？论教育资源和师资力量还有大学数量都是首都第一。没说你们不卷，只是占着教育资源优越，考试卷也灵活。但你们比别的省高考都简单，卷也是内卷,[可怜],0
人人如果有这样的自觉性，疫情可能早就结束了,[good],1
向刘亚楼将军致敬，闽西开国上将,[赞],1
真把自己当回事了,[笑哈哈],0
共存？怎么共存法，中国人口那么多，感染了都往医院跑，医护人员也感染，感染了也不是很舒服吧，医护感染了也要休息吧，谁来给你开药谁来给你治病，还是全部在家躺着高烧39°躺平，多喝热水就自己好了？还有一个问题，我们国内年轻人的身体还真的没有国外好，感染了一起芭比Q吧,[笑cry],0
本来觉得西安挺完蛋的……还真是全靠同行衬托,[跪了],0
本子谋求军事大国的愿望还是想想就得了吧。。。,[汗],0
不断的用人骨当柴，用人油助燃，才让火炬如此光明？,[允悲],0
沪市和人民币汇率都意外大跌，+某市的疫情始终高位运行，超限战之金融战和生物战已经开打了 不要把敌人想象得有一点点道德，他们就是海盗的后代， 准备好我们的打狗棍吧,"[思考],[摊手]",0
疫情期间，大家防护一定要做起来啊。勤洗手，戴口罩，最最重要的是及时报备。大家共同参与，一起挺过这波疫情,[加油],1
:【幼儿园校车#司机突发脑梗倒下前保住13名孩子#】近日，湖南邵阳。54岁幼儿园校车司机尹华乔在驾车行驶途中突发急性脑梗。倒下前，他拼尽全力将车平稳靠边停下，确保了车内13名孩子与1名老师的生命安全，但他却不幸离世。园长称，尹师傅被送往医院后，已无法说话，但他还强忍着不适，仰着头想要知道孩子们的消息，当得知孩子们都安全后，才肯躺回床上。走好,[蜡烛],1
:【#国家植物园揭牌#】#国家植物园里都有啥#4月18日，国家植物园在北京正式揭牌。此次设立的国家植物园，是在中科院植物研究所和北京市植物园基础上扩容增效整合而成，总规划面积近600公顷。将充分发挥植物迁地保护和科学研究的核心功能，计划重点收集三北地区乡土植物、北温带代表性植物、全球不同地理分区的代表植物及珍稀濒危植物3万种以上，收藏五大洲代表性植物标本500万份，建成20个特色专类园、7个系统进化植物展示区和1个原生植物保育区。,[打call],1
你都说了然而 然而我还敢出去吗,[允悲],0
不吃主要是它也不好吃啊 从小到大就觉得它难吃,[允悲],0
嘴上说的，实际干的，矛盾,[弱],0
现在确实上初一就开始有校园暴力了 各种拉帮结派的,[允悲],0
可是我们还是买不到东西,[泪],0
股市没毛病，得保证绿码,[哈哈],1
致敬民族企业家，致敬英雄,[心],1
经济增长快了，防着你；经济增长慢了，就怪你,[跪了],0
不打扰就是最好的尊重,[心],1
学到新词汇，动态清零,[心],1
我想你是找骂上瘾啊姐姐,[打call],0
善待那些建筑工人们，让他们在施工完成后的隔离期间也和上海市民一样收到改有的关爱吧,[鲜花],1
你看看 都不用担心东海的船舶 为首都点赞,"[打call],[doge]",1
SHOOT IT ！,[加油],1
正如电影《湄公河行动》里说的那样：“你之所以看不见黑暗，是因为无数勇敢的人把黑暗挡在了你看不见的地方。”致敬所有的缉毒警察，愿天下无毒，愿每一位缉毒警察都能平安回家！,[心],1
你个老头天天发这个表情干嘛“”? 历史虚无主义者 安心养老别管那么多,[允悲],0
致敬最美逆行者，中国消防员，感恩有你们,[心],1
致敬潘老共和国功勋辉亮的星星✨永垂不朽,[心],1
团团 这歌一般人可唱不上去啊,[抓狂],0
wdnmd 三个弯脚杆婆娘 我真的佛了,[微笑],0
你拆朱可夫也就罢了，就算拆列宁也能说出点道道来，卓娅没得黑，除了纳粹没人会恨她,[怒],0
笑死，刷卡无接触有啥用？,[喵喵],0
不要碧莲就是说这种人,[可怜],0
人民海军73周岁生日快乐#人民海军73岁生日快乐#,[鲜花],1
本来就是殖民地啊，美属朝鲜,[吃瓜],0
:【#故宫红墙与春花太配了#】紫藤密若流瀑，牡丹艳似云霞，感受故宫繁花织就的梦幻春光↓↓↓@故宫博物院,[心],1
风刮得树枝乱摆，好大啊,[抓狂],0
本山东人让你说的愣了十秒钟,[允悲],0
陈梦坚定自我继续努力！！要坚定自我哦,[心],1
哈哈哈，急了吧？当事实真相出现的时候，不是你这种莽夫直接跨境抓人吧？就你这样的，还想指导国家去怎么做事？外交部、公安部咋就没有聘你呢？事情都是你这种嘴炮做成的？,[笑cry],0
团团，现在疫情防控越来越变味了,[允悲],0
没做完20个就支持不住了,[泪],0
共存2300的特效药你给穷苦人民买,[污],0
这就是开放的后果，那些叫嚣开放的先把你的孩子献出来把你的家人献出来,[微笑],0
没事别钓鱼,[吐],0
我咋觉得造谣啥也不要 光会打字就行了呢,[太开心],0
还想要权利？感恩吧,[允悲],1
你也配管好好笑哦,[打call],0
主要人家的领导都说了，拖欠工资才是正常现象咯，不拖欠的在领导眼里是傻子是不正常好吧,[doge],0
川建国同志，下届选举一定要赢哦,[笑cry],1
北约轰炸南斯拉夫大使馆的愁什么时候报这么大的愁不报，北约能不作怪吗？,[怒],0
俄罗斯马上公布证据，让全世界人民狠狠唾弃它！吐沫星子淹死他们,[嘻嘻],0
随你姓就是你家的人啊，买来的男孩都能当香火传宗接代让亲生的女儿给买来的儿子攒彩礼，血缘有什么关系呢,[憧憬],0
:【#沈燮元99岁手写80余万字编纂古籍#】“除非生病，没一天不看书。”沈燮元是国内版本目录学专家，他只看一眼就能辨别古籍真伪。退休后，沈老用30多年编纂《士礼居题跋》。不会用电脑的他，从编纂到完稿，80余万字全靠手写，“这是一笔宝贵的文化遗产”。向沈老学习，做充实的读书人！ 央视新闻的微博视频,[good],1
今天要特别感谢屠呦呦先生！,[心],1
加油 ！上海 ！！为逆行者点赞,[心],1
默哀，鞠躬……尊重逝者，尊重生命,[蜡烛],1
致敬！希望我国航天事业能继续大力发展！请加大力度！[赢牛奶],[打call],1
【#全国多地驰援上海#】近日，上海疫情引起全国关注。一批批医疗队，一车车必需物资……各地都在用自己的力量支援上海。中华儿女，血脉相连，风雨同舟。疫情之下，我们共同守“沪”！,[拳头],1
明天就立法允许，然后上来钻孔,[doge],0
哦，我贡献了十万分之一,[哈哈],1
正大光明不比阴阳怪气坦荡百倍？,[doge],1
真的吗？,[泪],0
是我的家乡好美呀[送花花],[鲜花],1
老妖婆说感染就感染 菜菜子也家人感染居家隔离（毕竟打了爸爸的疫苗） 重点是 这还是菜菜子花钱（通告费）邀请老妖婆来坐坐 之前蓬猪飞过来没敢落地回去了 这次直接“新冠阳性”能够阻止这破烂事儿的肯定不是白宫那帮只想着老司机政治利益的人,[doge],0
自由荣耀,[打call],1
虽然脑子和肠子一样但也不能都用来装大便。,[挖鼻],0
啧啧啧，自卑心跑网络来找存在感吧！见不得国家好,[太开心],0
男拳出来打了,[可怜],0
他们都曾来过这个世界,[泪],0
海南电话别接,[怒],0
基本全是病例2的密接,[允悲],0
团团你好损，但我喜欢,[抱一抱],1
华人什么衣服都可以穿，就是不能穿小日本的和服,[怒],0
本来我们没想到的，你提醒了我们,[doge],1
我真是谢谢你，因为有你，瘟暖了四季啊,[怒],0
那么希望可以从现在开始 逐渐改变可能被误会的固有的看法,[心],1
基本的巷战战术，何谈国家总指挥，看来你病得不轻,[允悲],0
这才是理智女性的作风,[good],1
四川昨日无新增本土病例,[话筒],1
欧美貌似天天死人，对吗？你家里是没老人，因为都清零了嘛。,[允悲],0
对这座城市已经无感了 更多的是厌恶,[摊手],0
清明节前夕，西藏军区“墨脱戍边模范营”官兵,[心],1
建议疫情防控期间故意投毒的和幕后主使人一起枪毙,[作揖],0
这个报道也太莫名其妙了吧，全凭几张图一段录音，这成本也太低了,[允悲],0
希望你自己先好好学一学这些，牢记于心，不忘初心,[微笑],1
作为曾经的校园暴力受害者 一定要开除这几个女的 对这个受害女生也要注意心理疏导 除了这几个施暴者 更可怕的是旁观的同学朋友 每一个都是校园暴力的施暴者,[泪],0
#北京26日新增本土确诊31例# #北京通报新增确诊详情# 战疫加油,[加油],1
酷酷！真不错 我大成都[送花花],[抱一抱],1
42算是高龄产妇了，想不通为啥还生第三胎,[允悲],0
西方让乌克兰变成欧洲子宫东欧最穷国家，这些你不会不知道吧,[doge],0
【#男孩将猫舍小猫逐个抛向高空后砸地# ，店主反被家长指责没关好门】家长这么恶毒，能教育出善良的孩子来么？,[怒],0
大家都知道,[偷笑],1
我前几天听说是钟南山的儿子搞的核酸检测，说28号（不知道几月份的）下来了现在又是张文宏医生，吃个瓜真的很难，吃不全吃不准,[允悲],0
不敢飞。。疫情太吓人了,[泪],0
#李玉刚华夏# #李玉刚# 李玉刚老师一开口就是国泰民安哇，这首歌好温暖，好治愈，爱了爱了,[抱一抱],1
辛苦了🙏,[泪],1
赞你，有的人反智反魔怔了，美国70年代末有一阵子反疫苗小高潮，反噬就是随之而来的风疹综合征开始高发。大部分人觉得我不打也没得病（为什么要打？），因为享受了其他绝大多数群众打疫苗带来的免疫屏障。把疫苗当补品打？一针都不打！！,[喵喵],0
“哪怕用生命也是值得的”,[泪],0
我们上海隔离快饿死了你在打拳击你要整干净网络先从带寄吧的下手吧,[舔屏],0
美国不该骂吗，有些人着急什么,[doge],0
传染不了的结果就是传染率低啊 这两者就是因果关系啊 这个很难理解吗？传染性是强啊 病死率也是高啊 但统计感染人占样本总数的时候传染率就是低啊 请别把传染性和感染率这两个概念弄混好吗真的不想再解释了 不懂可以百度 不要老是问来问去,[汗],0
一转眼又是一年蓝眼泪出现的季节，好希望疫情马上结束啊，已经错过好多年了,[心],1
我早上出门打的短超，我老婆说：今天降温，多穿点！然后我还是打起短超的出门！,[偷笑],1
前两天的辟谣，说好的另有任用呢？！！！！玩呢！,[怒],0
勇敢鲸鲸，不怕困难，终于回家了所有救援人员辛苦了,"[中国赞],[心]",1
致敬中国航天，星辰大海永不止步,[拳头],1
哈哈哈，会说你就多说几句,"[good],[哈哈]",1
信息舆论战啊，原本这都是要用在中国身上的，现在俄罗斯先遭遇攻击了我们需要好好的观察，总结经验防患于未然,[允悲],1
还有三成愿意？我们是不是该反思一下火力是不是不够,[doge],0
人民日报也被带节奏了,[允悲],0
【青运史上的今天，“中国青年五四奖章”首次颁发】榜样的力量#建团100周年#,[加油],1
向王民警致敬！王民警一路走好,[蜡烛],1
靠背有点高了，早上不好睡觉,[允悲],0
只许它刀架你脖子不许你反抗既然北约不顾世界和平质疑挑起战争，那不如全面军事支持大毛,"[怒],[喵喵]",0
你们这个协会天天吃饱了没事干，这种废话还要你说,[疑问],0
对啊，最可怕的是那些人乱跑的别的城市还能在一两天把大半个城市逛完的，这是投毒还是咋的,[跪了],0
有没有可能是一种男的读书时期不努力,[悲伤],0
啊…这……乌是真傻还是假傻,"[挖鼻],[费解]",0
我想知道借个卫生纸不借。就去翻柜子这个孩子的素质得多低？而且。翻床头，衣柜，没人阻止？,[doge],0
往华盛顿丢萨尔马特不一样？就怕毛子不敢,[嘻嘻],0
虽然但是看着就来气,[哼],0
逝者安息，生者坚强。,[蜡烛],1
中国的汉服就是漂亮，汉服，汉服,[打call],1
上海来的应该一律隔离14天外加多次核酸！上海来的应该一律隔离14天外加多次核酸！上海来的应该一律隔离14天外加多次核酸！上海来的应该一律隔离14天外加多次核酸！上海来的应该一律隔离14天外加多次核酸！上海来的应该一律隔离14天外加多次核酸！,[怒骂],0
:【#墨脱戍边模范营官兵烈士陵园祭奠英烈#】清明节前夕，西藏军区“墨脱戍边模范营”官兵，到烈士陵园祭奠英烈。墨脱戍边模范营战士李驰说，只要使命任务需要，我们随时为党和人民献出一切。“宁舍自己一条命，不丢祖国半寸土！”国之脊梁永远铭记！#清明祭英烈#,[蜡烛],1
清明泪雨落，烛火祭英雄,[蜡烛],1
每一位警察的警号都是独一无二的,[泪],1
网红张动不动微博小作文,[挖鼻],0
没事就吃溜溜梅,[嘻嘻],1
王校长，救命啊，我家楼上扰民，之前是天天晚上十一点孩子跑，沟通完之后变成大人天天恶意敲地板，天天晚上敲到十二点多，这种人坏的都流油，物业警察都管不了，怎么办啊？谁来救救我,[泪],0
为撒我一个也没有,[泪],0
隐匿传播了一个礼拜，要是在上海，早就大面积爆发了,[doge],0
向三位中国文化大使致敬,[作揖],1
海上着落技术成本低就算有意外也不至于摔死，跟落点准有啥关系返回仓又不会沉底，舔啥呢,[doge],0
小湾湾酸死了,[可怜],0
哈还跳啊，还闹啊，有本事闹没命得，笑死我了耗材,[哈哈],0
送别！缅怀李三立院士！,[蜡烛],1
不能向无耻的侵略者妥协,[赞],1
抱歉，我不用键盘,[微笑],0
养狗群体不会标榜，毕竟养狗吃肉的肯定不会这么标榜自己。倒是爱狗的触生总爱怎么自诩爱心。狗肉那么好吃为什么要恨狗啊，我们只恨把狗当作犭半犭吕的非人生物呢。一提你的犭半犭吕就要拽上警犬略显底气不足啊，你和国家功勋是一回事吗？宁好像不配呢。,"[太开心],[笑cry]",0
气的不是她认不到血橙，而是她第一次发了帖子，当时还没丢，人家下面全是给她说这个是血橙，是好东西。她还是直接丢了，然后又发了几条吐槽说这个是烂东西,[允悲],0
我的故事：多年以后发现曾经热爱的共青团并不尊重我作为女性的那一部分。,[允悲],0
他们本该拥有更多的故事，而不是被这短短几行字概括了自己的一生,[失望],0
说句不中听的，有本事就去打他啊，光在这里抗议，人家当你是个屁,[允悲],0
但凡关注过都知道，豆瓣微博两个主女性社区的不同女性每一次遇到品牌乳化都发起了抵制。不知道应该去搜，而不是跑过来无脑否认和狂叫,[doge],0
现在这些医护人员已经够辛苦的了，还有些傻子天天叫嚣着放开放开，真放开了，别管轻症重症，总量只会多不会少，再加上那时体质虚弱，其他病症一起发作，怎么可能靠自己自愈？医疗系统完全承受不住这种压力。不敢想象那时后她们得忙成什么样，希望永远不要放开，向医护人员致敬,[拳头],1
真真诠释了一切为了人民，永远把人民安全放在首位,[悲伤],1
中国会越来越强，美国会越来越慌,[微笑],1
破的很，一点都不舒服,[吐],0
这种上海回来的，为嘛不隔离？就那么高贵嘛？不好管？,[微笑],0
您的健康码为太空蓝码,[doge],1
上海政府管控不力，所以那些人到处乱跑，上一波在成都务工的那个小伙搞的那一波疫情，所有人不也逮着成都骂。就事论事吧 不要一直为上海说好话了，我姐一家去上海务工了他们跟我说的严重得多好吧他们也骂政府,[汗],0
亮个相吧！小宝贝儿！！,[doge],1
为什么不能提啊,[疑问],0
唯恐天下不乱？,[doge],0
全球文明世界联合起来了！,[加油],1
滚去国外不是简单得多,[挖鼻],0
每当夜深人静的时候，他们凝视着上衣警号的眼里，一定热泪不休吧,[悲伤],0
不敢正视这句话？果然被我印证了,[打call],0
搞它，这个不是中国人，随便搞,[doge],0
很不幸，海南，广西已经没机会了因为它们被分到了075两攻,[doge],0
潍坊特色的民间艺术和高科技航天相结合,[心],1
假想敌……美国总统每天中国中国的不离口都是幻听吗？,[拜拜],0
特朗普：假新闻CNN！！！,[doge],0
这已经连续几天无新增啦 求课代表概括一下,[憧憬],1
#故宫红墙与春花太配了#云游故宫 红墙黄瓦映春花[哇],[心],1
下午出门没穿，现在冷得很,[允悲],0
真的很烦很烦很烦！我已经受够了疫情,[泪],0
上海两个字打不出来是吧,[怒],0
强国一代有我在！高校学子唱响凌云之志,[心],1
好想他真的好想他,[泪],0
我认同你的观点。但是，搞清朗为什么不极端女权、极端男权一起批判呢？大家反对的是团团只把那句无关轻重的问话提出来，打上“极端女权”这个标签，但是某些男女更加恶劣的极端言论，团团却置若罔闻。并把性别对立推向现在这种局面。不要激动，思想有碰撞才能进步，我们可以继续聊呀。,[心],1
若有战，召必回。好样的#了不起的中国退役军人#,[中国赞],1
所以我找工作都看这几点，拖不拖工资。工作氛围怎么样，因为之前被拖过，除非是那种什么礼拜六礼拜天休息那种，但有些地方也只会提前，不会拖后！！！真不知道有些资本家怎么想的。,[摊手],0
不用形容的这么详细,[允悲],1
不忘初心牢记使命砥砺前行,"[打call],[心]",1
你们面皮出事我真的会很伤心，因为我可能知道了这东西脏还是想吃,[泪],0
麻烦那三个温桑婆娘判刑好吗，其他多的就别说了,[微笑],0
:【致敬公安英雄！#牺牲民警来自天堂的告白#】“那一天，我走了，一定是为了平安梦想的执着，平凡英雄从此变成不朽的传说，我的身体五星红旗包裹……”#清明祭英烈# 警民携手同行的微博视频,[悲伤],1
纪念南京解放73周年，勿忘国耻,[蜡烛],1
男权天天管别人容不得半点沙子,"[打call],[笑cry]",0
我dbvrjducbbdhx,[拜拜],0
祝贺🎉我的国🇨🇳航天yyds,[心],1
詹天佑不仅仅建造了中国的第一条铁路，更是建立了中国人独立自主的信心！,[加油],1
向周总理致敬！铭记嘱托，不负众望！,"[加油],[心]",1
集体食物中毒的典型前兆案例,[doge],0
大规模屠华时你也是那种会说“他们又不是中国人和我们没关系”的人,[太开心],0
对的哈，大家都要做好自我防护,[心],1
净说大实话。西方反俄已经反的有点疯癫了。,[doge],0
很支持，加分政策仅英烈子女就好,[打call],1
所谓“神社”中信奉的到底是什么，或许没有人比小鬼子更清楚了，小鬼子的祖宗还能是什么？不是鬼难道是牲畜吗不过我觉得，是牲畜也没什么，我不会看不起他们的更会感到他们可怜，没有脑子，只长了一张嘴，到处捏造事实 历史不容被侵犯以及篡改，错了就是错了，希望小鬼子明白,"[作揖],[馋嘴]",0
因为团团得罪了女拳,[doge],0
建院是最恶心的 没有之一,[汗],0
札西德叻撈撈你,"[微风],[鲜花]",1
所以，是不是需要对某些专门公开讲这种话的“网红专家”监管监管？！,[怒],0
居心不正的不法分子太多，可乘之机也太多,[摊手],0
坐地铁就不限号，还可以打游戏、爪瞌睡、刷微博看条条叽叽喳喳,[爱你],1
行走的50万？我感觉不是间谍的话，应该有理智自己去考虑判断问题，然后从正规途径反应。而不是在这评论区大说女性权力问题。这里不是法院，也不是国家的有关部门。,[思考],1
看到了,[鼓掌],1
饭圈封禁死绝都不为过，正常人追星就叫追星族，能被称为饭圈的，他们行为本身就已经很出格了，该不会真有人觉得饭圈是什么中性词吧,[吃瓜],0
可是可是可是那个图真的很像老鼠我感觉不像发霉求求你们不管这次事情是真是假都做好品控我吃了好多包了（然后我想问一下有一些面皮是皱皱的，有一些很韧还很难泡开咋回事啊，我在官方旗舰店买的，是批次问题吗？）,[泪],0
确实，有点让人失望啊哈哈,[笑cry],0
哇 虽然不看球 但看到胜利的消息还是笑了出来,[抱一抱],1
运动要循序渐进，量力而行。,[加油],1
过几天，这个学者可能被发现在家中自杀，背后身中6枪,[doge],0
【致敬！#90后辅警因公殉职捐器官救3人#】,[蜡烛],1
这就是美国，这就是纳粹,[吐],0
好棒啊希望各地都尽快清零。,[鼓掌],1
不能形成法律约束，都是空谈,[摊手],0
2300块的流感！我们这自费进医院吊瓶子，开药，血检一趟下来都tm花不了2000。,[摊手],0
我这老头说他是上海电视台的，别人花钱拼团的物资，他说电视台要拍照下，帮忙配合他，我去他的,[泪],0
不晓得，就直接邮件通知我因为疫情暂停发货，疫情过了再发,[跪了],0
王曼昱继续努力，为国争光，做好青年表率,[心],1
老百姓的反对何时有用过,[doge],0
上海每天几千几千都没有高风险成都求求上点心吧还按照其他省市的风险划分明显不足啊！上海本地过来的落地就集中14天，让他们自费隔离！！,[doge],1
看这条ip,[哈哈],1
这是扇风点火嘛，打你家门口才宣传是不是就迟了,"[费解],[黑线]",0
反正现在美国通胀压力明显减小了,[挖鼻],1
败灯？他不也受制于美国的军火商嘛！,[doge],0
#建团百年原创歌曲有我#庆祝中国共青团成立100周年！青春有我！,[心],1
乌克兰来我们国家吗，人家别提有多嫌弃我们国家了[开学季]我们的国门一直敞开的，人家自己不来啊，怪我们？,[污],0
人民海军！,[鼓掌],1
美国赶紧灭绝吧！有他们在一天不安宁，平白无故出现恐怖袭击，肯定是巴基斯坦亲美了就不应该捐助他们，让他们吃的太饱，反而咬你一口,[怒],0
冰箱不制冷 我自己还得变成一个冰箱自己制冷是吗,[憧憬],0
不怕大毛导弹，客死他乡,[允悲],0
杠上花，有钱花，使劲儿花,[doge],1
白皮猪的思维方式，身为人类的我们，确实看不懂,[doge],0
庆功未捷身先去，孟圆商飞志愿者,[蜡烛],0
太难过了，请为死者记功,[泪],0
今天恰好没有转乘8号 赶巧,[允悲],0
上海TMD就是个无底洞！,[怒],0
打成都关工委电话87067939询问一下 他们组织的“爱成都迎大运”得奖作品证书快递到哪儿或者怎么查询 电话打过去 一位男同志接的 他说给我一个号码 然后我就一直等着 过了两三分钟就直接把电话给我挂了 再打就打不通了这是什么办事态度什么操作啊？很少打电话到机关单位不懂！,[允悲],0
一整天坐电脑前的~动起来,[打call],1
你可是太不够了,[doge],0
新冠怼西方医学：第一阶段：突破（疫苗失效），导致的结果是西方医疗体系疲于奔命，人仰马翻。要不是因为用中医药及时力挽狂澜，估计早就进入第二阶段：合围（大量出现重症和死亡病人），结果是鬼哭狼嚎。第三阶段：击溃（西方医疗体系整个瘫痪失灵），从精神和肉体上彻底躺平，毫无反抗。,[吃瓜],0
论不要脸 这个言论目前冠军,[允悲],0
不蠢不坏怎么配做团团的粉丝,[泪],0
[虎爪比心]争做优秀团员,[鲜花],1
这什么智商啊还搞艺术,[吃瓜],0
希望乌克兰灭国,[吐],0
四八空难，牺牲的烈士们千古,[蜡烛],1
土澳要是能听得进去才是见了鬼,[doge],0
这些在网上兴风作浪的极端女权，团团快来锐评一下啊 #警方回应男子凌晨当孩子面家暴妻子# #警方通报婴儿吃饭时被生父扇脸殴打# #警方回应广西一男子疑似家暴妻子#,[泪],0
有问题能第一时间出面解决，不错 有责任心,[good],1
姐姐打拳肯定是累了，脑子不太灵活了，先休息一下，捋一捋，别累着心疼,[泪],0
……我只是在陈述事实啊，而且纳粹杀得也不光是犹太人，法国人，德国人，苏联人……还有你说的拉贝的事迹也只能代表他个人啊，你也不能因为有一些日本人帮助抗日就说日本人无罪啊……,[黑线],0
犯我中华者，有来无回！,[并不简单],1
上次遇到借路费的，我说帮他打幺幺零他就骂骂咧咧的走了,[偷笑],0
咱自己的摄像头，得支棱起来，多拍，视频最好，照片不嫌弃，美美的,[嘻嘻],1
楼上哪来的阿猫阿狗 跑过来指点江山了,[摊手],0
我等着呢 大家都说啊,[爱你],1
81192，家国不忘，多希望您能看到今日中国,[心],1
愿逝者安息，希望还有幸存者,[蜡烛],0
母人这么急啊,[打call],0
美国死人你心疼，那你去救他们啊快去啊，实在不行给他们捐款众筹啊恕我直言每一个中国小孩的命都比美国千千万万人的命重要,[疑问],0
愿心之所向 以后都能实现,[心],1
里面的宝宝都是国宝的地球村最“珍贵”的幼儿园！！,"[赞],[拳头],[鲜花],[哈哈]",1
不要代理引战了，男女都是人,[泪],0
诡计多端的M,[悲伤],0
这种收购溢价在做的时候不能全算商誉吧 前痛苦的会计人留下了悔恨的泪水,[允悲],0
希望下次有机会去亲眼看看,[打call],1
上海一防疫志愿者离世，生前系飞机设计师,[蜡烛],0
:【#退役军人给王伟的留言汇聚成歼20形状#】“前辈放心，我们已经有了最先进的战机”，“我们将替你巡航，替你守护神州大地”……来自退役军人的心声汇聚成了歼-20的模样，摆放在王伟烈士墓碑前，更多的81192正守卫着这片碧海蓝天！#你若记得他便不悔#,[悲伤],1
我在二月就过完了四季,[跪了],0
